data,valor,serie
2019-01-01,0.54,CDI_acumulado_mensal
2019-02-01,0.49,CDI_acumulado_mensal
2019-03-01,0.47,CDI_acumulado_mensal
2019-04-01,0.52,CDI_acumulado_mensal
2019-05-01,0.54,CDI_acumulado_mensal
2019-06-01,0.47,CDI_acumulado_mensal
2019-07-01,0.57,CDI_acumulado_mensal
2019-08-01,0.5,CDI_acumulado_mensal
2019-09-01,0.46,CDI_acumulado_mensal
2019-10-01,0.48,CDI_acumulado_mensal
2019-11-01,0.38,CDI_acumulado_mensal
2019-12-01,0.37,CDI_acumulado_mensal
2020-01-01,0.38,CDI_acumulado_mensal
2020-02-01,0.29,CDI_acumulado_mensal
2020-03-01,0.34,CDI_acumulado_mensal
2020-04-01,0.28,CDI_acumulado_mensal
2020-05-01,0.24,CDI_acumulado_mensal
2020-06-01,0.21,CDI_acumulado_mensal
2020-07-01,0.19,CDI_acumulado_mensal
2020-08-01,0.16,CDI_acumulado_mensal
2020-09-01,0.16,CDI_acumulado_mensal
2020-10-01,0.16,CDI_acumulado_mensal
2020-11-01,0.15,CDI_acumulado_mensal
2020-12-01,0.16,CDI_acumulado_mensal
2021-01-01,0.15,CDI_acumulado_mensal
2021-02-01,0.13,CDI_acumulado_mensal
2021-03-01,0.2,CDI_acumulado_mensal
2021-04-01,0.21,CDI_acumulado_mensal
2021-05-01,0.27,CDI_acumulado_mensal
2021-06-01,0.31,CDI_acumulado_mensal
2021-07-01,0.36,CDI_acumulado_mensal
2021-08-01,0.43,CDI_acumulado_mensal
2021-09-01,0.44,CDI_acumulado_mensal
2021-10-01,0.49,CDI_acumulado_mensal
2021-11-01,0.59,CDI_acumulado_mensal
2021-12-01,0.77,CDI_acumulado_mensal
2022-01-01,0.73,CDI_acumulado_mensal
2022-02-01,0.76,CDI_acumulado_mensal
2022-03-01,0.93,CDI_acumulado_mensal
2022-04-01,0.83,CDI_acumulado_mensal
2022-05-01,1.03,CDI_acumulado_mensal
2022-06-01,1.02,CDI_acumulado_mensal
2022-07-01,1.03,CDI_acumulado_mensal
2022-08-01,1.17,CDI_acumulado_mensal
2022-09-01,1.07,CDI_acumulado_mensal
2022-10-01,1.02,CDI_acumulado_mensal
2022-11-01,1.02,CDI_acumulado_mensal
2022-12-01,1.12,CDI_acumulado_mensal
2023-01-01,1.12,CDI_acumulado_mensal
2023-02-01,0.92,CDI_acumulado_mensal
2023-03-01,1.17,CDI_acumulado_mensal
2023-04-01,0.92,CDI_acumulado_mensal
2023-05-01,1.12,CDI_acumulado_mensal
2023-06-01,1.07,CDI_acumulado_mensal
2023-07-01,1.07,CDI_acumulado_mensal
2023-08-01,1.14,CDI_acumulado_mensal
2023-09-01,0.97,CDI_acumulado_mensal
2023-10-01,1.0,CDI_acumulado_mensal
2023-11-01,0.92,CDI_acumulado_mensal
2023-12-01,0.89,CDI_acumulado_mensal
2024-01-01,0.97,CDI_acumulado_mensal
2024-02-01,0.8,CDI_acumulado_mensal
2024-03-01,0.83,CDI_acumulado_mensal
2024-04-01,0.89,CDI_acumulado_mensal
2024-05-01,0.83,CDI_acumulado_mensal
2024-06-01,0.79,CDI_acumulado_mensal
2024-07-01,0.91,CDI_acumulado_mensal
2024-08-01,0.87,CDI_acumulado_mensal
2024-09-01,0.84,CDI_acumulado_mensal
2024-10-01,0.93,CDI_acumulado_mensal
2024-11-01,0.79,CDI_acumulado_mensal
2024-12-01,0.93,CDI_acumulado_mensal
2025-01-01,1.01,CDI_acumulado_mensal
2025-02-01,0.99,CDI_acumulado_mensal
2025-03-01,0.96,CDI_acumulado_mensal
2025-04-01,1.06,CDI_acumulado_mensal
2025-05-01,1.14,CDI_acumulado_mensal
2025-06-01,1.1,CDI_acumulado_mensal
2025-07-01,1.28,CDI_acumulado_mensal
2025-08-01,1.16,CDI_acumulado_mensal
2025-09-01,1.22,CDI_acumulado_mensal
2025-10-01,1.28,CDI_acumulado_mensal
2025-11-01,1.05,CDI_acumulado_mensal
2025-12-01,1.22,CDI_acumulado_mensal
2026-01-01,1.16,CDI_acumulado_mensal
2026-02-01,1.0,CDI_acumulado_mensal
2026-03-01,0.55,CDI_acumulado_mensal
